  -> data/revision/R05_fold_medians.csv  (24 rows)
=== fold-derived vs global state-median sowing DOY ===
 held_out_year state  median_global  median_trainfold  n_train_obs  shift_days
          2014    CO          280.0             280.0           35         0.0
          2014    KS          278.0             279.0          613         1.0
          2014    NE          263.0             263.0            7         0.0
          2014    NM          295.0               NaN            0         NaN
          2014    OK          290.0             287.0          250        -3.0
          2014    TX          286.0             286.0          122         0.0
          2015    CO          280.0             285.0           26         5.0
          2015    KS          278.0             278.0          629         0.0
          2015    NE          263.0             263.0            5         0.0
          2015    NM          295.0             295.0            1         0.0
          2015    OK          290.0             286.0          238        -4.0
          2015    TX          286.0             281.0          124        -5.0
          2016    CO          280.0             280.0           30         0.0
          2016    KS          278.0             278.0          661         0.0
          2016    NE          263.0             263.0            5         0.0
          2016    NM          295.0             295.0            1         0.0
          2016    OK          290.0             293.0          224         3.0
          2016    TX          286.0             286.0          148         0.0
          2017    CO          280.0             279.5           14        -0.5
          2017    KS          278.0             274.0          647        -4.0
          2017    NE          263.0             270.5            4         7.5
          2017    NM          295.0             295.0            1         0.0
          2017    OK          290.0             291.0          254         1.0
          2017    TX          286.0             285.0          107        -1.0

  |shift|: mean=1.52 d  max=7.5 d

loading Daymet ...
